SCENARIO,Date Code,Codex,BFV,Army,Matt,Steve,HISTORICAL WINNER
Hysiae - 669 BC,-669.0,601,6,Spartan,,,Argive
,,,,Argive,,,
Thyreatis (300 Champions) - 545 BC,-545.0,602,5,Spartan,,,Spartan
,,,,Argive,,,
Sepeia - 494 BC,-494.0,603,6,Spartan,,,Spartan
,,,,Argive,,,
Thermopylae (Middle Gate) - 480 BC,-480.0,604,10,Greek,,,Persian
,,,,Persian,,,
Thermopylae (Grand Overview) - 480 BC,-480.0,605,6,Greek,,,Persian
,,,,Persian,,,
Plataea - 479 BC,-479.0,606,6,Greek,,,Greek
,,,,Persian,,,
Mycale - 479 BC,-479.0,607,5,Greek,,,Greek
,,,,Persian,,,
Tanagra - 457 BC,-457.0,608,6,Spartan,,,Spartan
,,,,Athenian,,,
Olpae - 426 BC,-426.0,609,6,Spartan,,,Athenian
,,,,Athenian,,,
Sphacteria - 425 BC,-425.0,610,6,Spartan,,,Athenian
,,,,Athenian,,,
Delium - 424 BC,-424.0,611,6,Boeotian,,,Boeotian
,,,,Athenian,,,
Amphipolis - 422 BC,-422.0,612,6,Spartan,,,Spartan
,,,,Athenian,,,
Mantinea - 418 BC,-418.0,613,8,Spartan,,,Spartan
,,,,Argive,,,
Anapus River - 415 BC,-415.0,614,6,Syracusan,,,Athenian
,,,,Athenian,,,
Phyle - 404 BC,-404.0,615,4,Spartan,,,Athenian
,,,,Athenian,,,
Munychia - 404 BC,-404.0,616,5,Spartan,,,Athenian
,,,,Athenian,,,
Piraeus - 403 BC,-403.0,617,6,Spartan,,,Spartan
,,,,Athenian,,,
River Centrites - 401 BC,-401.0,618,7,Spartan,,,Armenian
,,,,Armenian,,,
Nemea - 394 BC,-394.0,619,5,Spartan,,,Spartan
,,,,Greek,,,
Coronea - 394 BC,-394.0,620,8,Spartan,,,Spartan
,,,,Greek,,,
Lechaeum - 391 BC,-391.0,621,3,Spartan,,,Athenian
,,,,Athenian,,,
Tegyra - 375 BC,-375.0,622,3,Spartan,,,Theban
,,,,Theban,,,
Leuctra - 371 BC,-371.0,623,5,Spartan,,,Theban
,,,,Theban,,,
Mantinea - 362 BC,-362.0,624,6,Spartan,,,Theban
,,,,Theban,,,
Chaeronea - 338 BC,-338.0,625,6,Greek,,,Macedonian
,,,,Macedonian,,,
Megalopolis - 331 BC,-331.0,626,7,Spartan,,,Macedonian
,,,,Macedonian,,,
Agrigentum - 262 BC,-262.0,C3i01,7,Roman,,,Roman
,,,,Carthage,,,
Adys - 256 BC,-256.0,C3i02,5,Roman,,,Roman
,,,,Carthage,,,
Panormus - 250 BC,-250.0,C3i03,6,Roman,6,6,Roman
,,,,Carthage,1,3,
Orongis - 212 BC,-212.0,C3i04,6,Roman,1,6,Roman
,,,,Carthage,2,6,
Celtiberia - 207 BC,-207.0,C3i05,5,Roman,,,Roman
,,,,Carthage,,,
Po River - 203 BC,-203.0,C3i06,7,Roman,,,Roman
,,,,Carthage,,,
Iliturgi - 215 BC,-215.0,C3i07,8,Roman,,,Roman
,,,,Carthage,,,
Cissa - 218 BC,-218.0,C3i08,6,Roman,,,Roman
,,,,Carthage,,,
Castrum Album - 214 BC,-214.0,C3i09,6,Roman,,,Carthage
,,,,Carthage,,,
Umbria - 217 BC,-217.0,C3i10,5,Roman,,,Carthage
,,,,Carthage,,,
Agathocles' Tower - 204 BC,-204.0,C3i11,5,Roman,,,Roman
,,,,Carthage,,,
Cirta - 203 BC,-203.0,C3i12,5,Roman,,,Roman
,,,,Numidian,,,
Caralis - 215 BC,-215.0,C3i13,8,Roman,,,Roman
,,,,Carthage,,,
Himeras River - 211 BC,-211.0,C3i14,6,Roman,,,Roman
,,,,Carthage,,,
